pt,session_id,start,end,TagId,TagLat,TagLng
54,O4,2021-05-27 16:16:00,2021-05-27 17:10:00,_66343419,38.30159483,-104.356135
55,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_2A074C2A,38.30185576,-104.3561569
56,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_2D784C33,38.30185576,-104.3561569
57,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_341E6155,38.30185576,-104.3561569
58,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_524B2A07,38.30185576,-104.3561569
59,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_66196107,38.30185576,-104.3561569
60,O5,2021-05-27 17:10:00,2021-05-27 18:00:00,_66343419,38.30185576,-104.3561569
61,W1,2021-05-27 15:37:00,2021-05-27 15:47:00,_33333319,38.30047937,-104.3560897
62,W1,2021-05-27 15:37:00,2021-05-27 15:47:00,_4B342D19,38.30047937,-104.3560897
63,W1,2021-05-27 15:37:00,2021-05-27 15:47:00,_4B780707,38.30047937,-104.3560897
64,W1,2021-05-27 15:37:00,2021-05-27 15:47:00,_4C4B6607,38.30047937,-104.3560897
65,W1,2021-05-27 15:37:00,2021-05-27 15:47:00,_664C4C55,38.30047937,-104.3560897
66,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_2A1E5561,38.30029637,-104.3560891
67,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_33333319,38.30029637,-104.3560891
68,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_4B342D19,38.30029637,-104.3560891
69,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_4B780707,38.30029637,-104.3560891
70,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_4C4B6607,38.30029637,-104.3560891
71,W2,2021-05-27 15:47:00,2021-05-27 16:23:00,_664C4C55,38.30029637,-104.3560891
72,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_2A1E5561,38.3000161,-104.3560327
73,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_33333319,38.3000161,-104.3560327
74,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_4B342D19,38.3000161,-104.3560327
75,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_4B780707,38.3000161,-104.3560327
76,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_4C4B6607,38.3000161,-104.3560327
77,W3,2021-05-27 16:23:00,2021-05-27 17:01:00,_664C4C55,38.3000161,-104.3560327
78,W4,2021-05-27 17:01:00,2021-05-27 17:27:00,_2A1E5561,38.29981866,-104.356017
79,W4,2021-05-27 17:01:00,2021-05-27 17:27:00,_33333319,38.29981866,-104.356017
80,W4,2021-05-27 17:01:00,2021-05-27 17:27:00,_4B342D19,38.29981866,-104.356017
81,W4,2021-05-27 17:01:00,2021-05-27 17:27:00,_4B780707,38.29981866,-104.356017
82,W4,2021-05-27 17:01:00,2021-05-27 17:27:00,_4C4B6607,38.29981866,-104.356017
